主播昵称,用户id,直播分类,房间名,直播热度,直播间地址,主播图片地址
数学系丶琪老师,58758153,英雄联盟,猛女带飞电一有位❤,148407,https://www.douyu.com/809652,https://rpic.douyucdn.cn/asrpic/220818/809652_1704.png/webpdy2
Timmv,207454433,英雄联盟,艾欧尼亚ꈍ◡ꈍ组排白银黄金嘎嘎杀,147771,https://www.douyu.com/6350403,https://rpic.douyucdn.cn/asrpic/220818/6350403_1705.png/webpdy2
长情易老凯隐,8820289,英雄联盟,国服第一凯隐：学会上大分！,146315,https://www.douyu.com/1079963,https://rpic.douyucdn.cn/asrpic/220818/1079963_1704.png/webpdy2
璇呆了,71165384,英雄联盟,璇：AD绝活哥^ ^,146042,https://www.douyu.com/7556060,https://rpic.douyucdn.cn/asrpic/220818/7556060_1706.png/webpdy2
少女种水稻,19152584,英雄联盟,【有车位】早，上号！,144134,https://www.douyu.com/7659741,https://rpic.douyucdn.cn/asrpic/220818/7659741_1706.png/webpdy2
赤瞳mid,76696123,英雄联盟,峡谷王者男刀：D1黄金局办卡可上车,143862,https://www.douyu.com/9488148,https://rpic.douyucdn.cn/asrpic/220818/9488148_1706.png/webpdy2
小羊菠菠,441866954,英雄联盟,滴滴 艾欧尼亚开车啦,142423,https://www.douyu.com/10656677,https://rpic.douyucdn.cn/asrpic/220818/10656677_0054.png/webpdy2
云云好可爱,450477401,英雄联盟,江西妹妹❤电一养生下棋有车位❤,141348,https://www.douyu.com/10843973,https://rpic.douyucdn.cn/asrpic/220818/10843973_1701.png/webpdy2
爱吃辣的雪姬,54982132,英雄联盟,黑色玫瑰有车位 833292,138606,https://www.douyu.com/833292,https://rpic.douyucdn.cn/asrpic/220818/833292_1704.png/webpdy2
执念豹女,172776777,英雄联盟,主播主打的就是C。,138002,https://www.douyu.com/3504605,https://rpic.douyucdn.cn/asrpic/220818/3504605_1705.png/webpdy2
妙音or奶斯,376933471,英雄联盟,妙音：黑色玫瑰❤有车位,136200,https://www.douyu.com/10710592,https://rpic.douyucdn.cn/asrpic/220818/10710592_1700.png/webpdy2
恩静学姐,237585931,英雄联盟,❤全区有号：国六女挖机带飞❤,135914,https://www.douyu.com/9229283,https://rpic.douyucdn.cn/asrpic/220818/9229283_1706.png/webpdy2
